Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 03.11.2022 20:45:19	Amount:100
Date/Time: 03.11.2022 20:45:19	Amount:-50
Date/Time: 03.11.2022 20:45:19	Amount:75
Date/Time: 03.11.2022 20:45:19	Amount:-50
Date/Time: 03.11.2022 20:45:19	Amount:-30
Date/Time: 03.11.2022 20:45:19	Amount:40
Date/Time: 03.11.2022 20:45:19	Amount:200
Date/Time: 03.11.2022 20:45:19	Amount:-250
Date/Time: 03.11.2022 20:45:19	Amount:25
Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 03.11.2022 20:49:57	Amount:100
Date/Time: 03.11.2022 20:49:57	Amount:-50
Date/Time: 03.11.2022 20:49:57	Amount:75
Date/Time: 03.11.2022 20:49:57	Amount:-50
Date/Time: 03.11.2022 20:49:57	Amount:-30
Date/Time: 03.11.2022 20:49:57	Amount:40
Date/Time: 03.11.2022 20:49:57	Amount:200
Date/Time: 03.11.2022 20:49:57	Amount:-250
Date/Time: 03.11.2022 20:49:57	Amount:25
Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 03.11.2022 20:50:23	Amount:100
Date/Time: 03.11.2022 20:50:23	Amount:-50
Date/Time: 03.11.2022 20:50:23	Amount:75
Date/Time: 03.11.2022 20:50:23	Amount:-50
Date/Time: 03.11.2022 20:50:23	Amount:-30
Date/Time: 03.11.2022 20:50:23	Amount:40
Date/Time: 03.11.2022 20:50:23	Amount:200
Date/Time: 03.11.2022 20:50:23	Amount:-250
Date/Time: 03.11.2022 20:50:23	Amount:25
Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 05.11.2022 20:46:01	Amount:100
Date/Time: 05.11.2022 20:46:01	Amount:-50
Date/Time: 05.11.2022 20:46:01	Amount:75
Date/Time: 05.11.2022 20:46:01	Amount:-50
Date/Time: 05.11.2022 20:46:01	Amount:-30
Date/Time: 05.11.2022 20:46:01	Amount:40
Date/Time: 05.11.2022 20:46:01	Amount:200
Date/Time: 05.11.2022 20:46:01	Amount:-250
Date/Time: 05.11.2022 20:46:01	Amount:25
